canonical_hobby,merged_group
Home gardening,"Home gardening, Gardening, home gardening, gardening"
Exploring street food,"Exploring street food, exploring street food markets"
Being rocked in a familiar routine,Being rocked in a familiar routine
Genealogy and local history research,"Genealogy and local history research, local history research, Local History Research, Genealogy research and family history documentation, Exploring local history and genealogy, Local history research"
Weekend cycling,Weekend cycling
reading newspapers and historical fiction,"reading newspapers and historical fiction, Reading historical fiction and oral histories, Reading historical fiction and mysteries, Reading trade magazines and historical fiction, Reading science magazines and historical fiction, Reading newspapers, Reading scientific literature and historical fiction, Reading historical fiction and scientific memoirs, Reading Newspapers, Reading local newspapers and historical archives, Reading (historical fiction, mysteries, genealogy), Reading (historical fiction and popular science)"
Playing with wooden blocks,"Playing with wooden blocks, playing with wooden blocks"
Attending intimate art workshops,"Attending intimate art workshops, attending small art workshops, Participating in art workshops, Attending art workshops, Attending local art workshops, Attending small art workshops"
Hiking in Blue Hills Reservation,"Hiking in Blue Hills Reservation, Solo hiking on the Blue Hills Reservation, Hiking Blue Hills, Hiking (Blue Hills), Hiking in the Blue Hills"
reading (science and history),"reading (science and history), Reading (historical fiction & popular science), Reading (Philosophy, Science, Art History), Reading philosophy, science, and art history, Scientific and historical reading, Reading (history, philosophy, science), Reading (science‑fiction, mysteries, natural history biographies), Reading (classic literature & science), Reading historical novels and science books"
Volunteer tutoring seniors on technology,"Volunteer tutoring seniors on technology, Volunteer Tech Training for Seniors"
Hiking in the Wichita Mountains,Hiking in the Wichita Mountains
Model rocketry,"Model rocketry, Model Rocketry, Model rockets, Model rocket construction"
Antique shopping,Antique shopping
Student council,"Student council, Participating in school student council, student council involvement, Student council participation, student council"
"Gardening (native plants, herbs, flowers)","Gardening (native plants, herbs, flowers), Gardening (herbs, heirloom vegetables, native wildflowers), Gardening (herb garden), Herb and native plant gardening, Gardening (herbs and native flowers), Gardening, particularly herbs, Gardening native herbs, gardening (native Florida plants and herbs), Gardening (herbs and ornamental plants), Gardening (Seasonal Flowers & Herbs), Native Herb Gardening, Gardening (herbs, chilies), Gardening (herbs and perennials), Gardening (herbs, tropical plants), gardening (flower beds, native plants), Gardening (herbs, flowers), Gardening (native plants and orchids), Gardening (chilies, herbs, vegetables), gardening (herb and vegetable cultivation), Gardening (native Southern plants), Gardening (native Southern flora)"
Hiking in the Blue Ridge,"Hiking in the Blue Ridge, Hiking in the Blue Ridge Mountains, Hiking the Blue Ridge Mountains, Hiking in the Blue Ridge foothills, Hiking and nature walks in the Blue Ridge area, Hiking (Blue Ridge, Falls Lake)"
Strategy and puzzle video games,"Strategy and puzzle video games, Playing puzzle video games, Strategy video games (turn‑based puzzles), Puzzle video games, Puzzle video games (single‑player), Puzzle‑focused video games, Playing strategy and puzzle video games"
Attending spontaneous neighborhood picnics,Attending spontaneous neighborhood picnics
Photography (street art and coastal landscapes),"Photography (street art and coastal landscapes), Landscape and street photography, Photography (coastal and portrait), Photography (Coastal Landscapes), Photography (especially coastal and architectural subjects), photography (coastal and nature), photography (coastal scenes), Photography of street art and landscapes"
mate drinking,mate drinking
Sketching and painting seascapes,"Sketching and painting seascapes, Sketching seascapes, Sketching seascapes and historic architecture, Sketching coastal scenes and watercolor painting"
"reading picture books (space, dinosaurs, art)","reading picture books (space, dinosaurs, art), reading picture books, being read picture books, Reading picture books about nature and space, Reading picture books, reading picture books (fantasy and space)"
Hosting game nights with friends,"Hosting game nights with friends, Hosting community game nights, Hosting board-game nights, Hosting board‑game evenings, Hosting game nights, hosting game nights, Hosting intimate game nights with friends"
Travel planning and cultural exploration,Travel planning and cultural exploration
Cooking and baking new recipes,"Cooking and baking new recipes, Cooking and trying new recipes, Experimenting with cooking and baking new recipes, Cooking new recipes, baking simple recipes, Cooking and experimenting with new recipes, Baking simple recipes, cooking new recipes, Cooking New Recipes, Cooking and baking simple recipes, Cooking and exploring new recipes"
Community Meetups and Tech Networking,"Community Meetups and Tech Networking, Professional networking meetups, Community tech meet‑ups and workshops"
Road‑Trip Landscape Photography,"Road‑Trip Landscape Photography, Landscape Photography, landscape photography, Landscape photography, Spontaneous road trips and landscape photography"
Minecraft creative play,"Minecraft creative play, Minecraft (Creative mode), Playing Minecraft (creative mode), Minecraft creative mode, Minecraft (creative mode), Playing Minecraft, Playing Minecraft for creative building, playing Minecraft, creative‑mode Minecraft"
Charity Runs,"Charity Runs, Participating in charity runs, Organizing Charity Runs, Charity runs, Charity Running Events"
Painting (acrylic and watercolor),"Painting (acrylic and watercolor), acrylic painting, Acrylic painting, Painting with acrylics, Sketching and acrylic painting, Fine‑Art Painting (acrylic, watercolor), Acrylic painting and sketching, Hobby painting (acrylics, watercolors), Acrylic and watercolor painting, Painting (acrylic), Painting (watercolor, acrylic), Watercolor and Acrylic Painting, painting (watercolor and acrylic), Acrylic Painting, Watercolor and acrylic painting"
Reading technology blogs and science fiction,"Reading technology blogs and science fiction, Reading contemporary fiction and tech blogs, Reading Popular Science & Tech Blogs, Reading science-fiction and technology blogs, Reading science-fiction and tech blogs"
Reading,"Reading, Being read to"
Community service,"Community service, Community service projects"
Historical Fiction Book Club,"Historical Fiction Book Club, Women’s historical fiction book club, Weekly book club (contemporary fiction), Book club (historical fiction), Book club reading (historical fiction, memoirs), Historical fiction book club, Book club (mystery and historical fiction), Book club (mystery & historical fiction), Book club (historical fiction & education), Book Club (World Literature), Historical novels, Book club (contemporary fiction, artist biographies), Book club (modern literature), Historical fiction book club participation, Book club (historical fiction and memoirs), Book club (speculative fiction), historical biography book club, Historical non-fiction book club"
Tech Blog Following,"Tech Blog Following, Technical blogging, Tech Blog Writing"
Hiking in the Verde Valley,Hiking in the Verde Valley
Hiking in the Cascade Mountains,"Hiking in the Cascade Mountains, Weekend hiking in the Cascades, Cascades hiking, Hiking in the Cascades, Hiking and nature walks in the Cascades, Hiking in the Cascade foothills"
